Title,Description,Preconditions,Postconditions,Steps,Expected Result,Priority,Type,Tags,Suite,Automation Status,Automation Path,Execution Command
"[AUTO] company nÃ£o consegue deletar defeito manual via API (403)","AUTO_DOC_ID: AUTO-B8A54D28EC0B

Objetivo: documentar e validar o teste automatizado existente em testes/api/defeitos/rbac-defects-api.spec.ts:6.

Descrição funcional: rbac - api defeitos manuais › company nÃ£o consegue deletar defeito manual via API (403). Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Permissão na área API / defeitos, camada API, perfil Empresa.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/defeitos/rbac-defects-api.spec.ts

Comando: npx playwright test testes/api/defeitos/rbac-defects-api.spec.ts --project=chromium --workers=1 --reporter=list

Projects Playwright/Jest: chromium, quality-smoke

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Empresa.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / defeitos; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: company nÃ£o consegue deletar defeito manual via API (403).

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""rbac - api defeitos manuais › company nÃ£o consegue deletar defeito manual via API (403)"" deve ocorrer sem divergência entre manual e automação.","Alta","Permissão","qase-doc-viva,automacao-existente,playwright,api,defeitos","Regressão > Documentação viva testes > API > defeitos","Automatizado","testes/api/defeitos/rbac-defects-api.spec.ts","npx playwright test testes/api/defeitos/rbac-defects-api.spec.ts --project=chromium --workers=1 --reporter=list"
"[AUTO] cria chamado básico com título e descrição","AUTO_DOC_ID: AUTO-461222CE58D7

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:98.

Descrição funcional: cria chamado básico com título e descrição. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: cria chamado básico com título e descrição.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""cria chamado básico com título e descrição"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] cria chamado do tipo bug com prioridade high","AUTO_DOC_ID: AUTO-85557CBE35A6

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:113.

Descrição funcional: cria chamado do tipo bug com prioridade high. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: cria chamado do tipo bug com prioridade high.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""cria chamado do tipo bug com prioridade high"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] cria chamado do tipo melhoria com tags","AUTO_DOC_ID: AUTO-70D713576B24

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:123.

Descrição funcional: cria chamado do tipo melhoria com tags. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: cria chamado do tipo melhoria com tags.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""cria chamado do tipo melhoria com tags"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] cria chamado vinculado a empresa e com assignee","AUTO_DOC_ID: AUTO-DC29019630E8

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:139.

Descrição funcional: cria chamado vinculado a empresa e com assignee. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico, Empresa.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico, Empresa.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: cria chamado vinculado a empresa e com assignee.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""cria chamado vinculado a empresa e com assignee"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] retorna null ao criar chamado sem título e sem descrição","AUTO_DOC_ID: AUTO-EE37F4451C5A

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:169.

Descrição funcional: retorna null ao criar chamado sem título e sem descrição. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: retorna null ao criar chamado sem título e sem descrição.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""retorna null ao criar chamado sem título e sem descrição"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] gera código SP-XXXXXX automaticamente","AUTO_DOC_ID: AUTO-1D278AC0DB58

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:182.

Descrição funcional: gera código SP-XXXXXX automaticamente. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: gera código SP-XXXXXX automaticamente.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""gera código SP-XXXXXX automaticamente"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] status padrão do chamado criado é backlog","AUTO_DOC_ID: AUTO-A5F197A94263

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:191.

Descrição funcional: status padrão do chamado criado é backlog. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: status padrão do chamado criado é backlog.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""status padrão do chamado criado é backlog"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] criador edita título e descrição do próprio chamado","AUTO_DOC_ID: AUTO-ED6E9E622AEE

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:200.

Descrição funcional: criador edita título e descrição do próprio chamado. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: criador edita título e descrição do próprio chamado.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""criador edita título e descrição do próprio chamado"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
"[AUTO] admin edita tipo e prioridade do chamado","AUTO_DOC_ID: AUTO-65F26FF499CD

Objetivo: documentar e validar o teste automatizado existente em testes/api/geral/chamados-suporte.test.ts:220.

Descrição funcional: admin edita tipo e prioridade do chamado. Este case transforma o teste automatizado em documentação manual executável no Qase, mantendo o repositório e o Qase compatíveis.

Regra validada: Funcional na área API / geral, camada API, perfil Suporte Técnico, Admin.

Impacto se falhar: perda de confiança na regressão automatizada ou divergência entre documentação Qase e código de teste.

Automação vinculada: testes/api/geral/chamados-suporte.test.ts

Comando: npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts

Projects Playwright/Jest: jest

Requer navegador headed para validação visual: Não

Dependências: API local","Ambiente disponível; dependências: API local; perfil: Suporte Técnico, Admin.","Resultado registrado e massa limpa ou rastreável.","1. Ação: Preparar massa/API
Resultado esperado: Garantir servidor local e dados necessários para API / geral; dependências: API local.

2. Ação: Montar requisição
Resultado esperado: Preparar endpoint, método, headers, autenticação e payload equivalentes ao teste automatizado.

3. Ação: Executar chamada
Resultado esperado: Enviar a requisição do cenário: admin edita tipo e prioridade do chamado.

4. Ação: Validar contrato e status
Resultado esperado: Conferir status HTTP, corpo da resposta, mensagens de erro e ausência de dados indevidos.

5. Ação: Registrar evidência
Resultado esperado: Anexar payload, response, logs e prints de cliente API quando aplicável.","O comportamento descrito em ""admin edita tipo e prioridade do chamado"" deve ocorrer sem divergência entre manual e automação.","Média","Funcional","qase-doc-viva,automacao-existente,jest,api,geral","Regressão > Documentação viva testes > API > geral","Automatizado","testes/api/geral/chamados-suporte.test.ts","npm test -- --runInBand testes/api/geral/chamados-suporte.test.ts"
